event_id,category_id,name,time
twlpclyvpbkb,11,Bistro Meetup,2016-11-08 00:00:00
234535894,11,Bistro Meetup,2016-10-17 23:00:00
twlpclyvnbfb,11,Bistro Meetup,2016-10-03 23:00:00
233821279,11,Bistro Meetup,2016-09-19 23:00:00
twlpclyvmbhb,11,Bistro Meetup,2016-09-12 23:00:00
232951239,11,Bistro Meetup,2016-08-15 23:00:00
twlpclyvlbcb,11,Bistro Meetup,2016-08-01 23:00:00
232055322,11,Bistro Meetup,2016-07-18 23:00:00
twlpclyvkbgb,11,Bistro Meetup,2016-07-11 23:00:00
231702935,11,Bistro Meetup,2016-06-20 23:00:00
twlpclyvjbjb,11,Bistro Meetup,2016-06-06 23:00:00
230505514,11,Bistro Meetup,2016-05-16 23:00:00
twlpclyvhbdb,11,Bistro Meetup,2016-05-02 23:00:00
230235139,11,Bistro Meetup,2016-04-18 23:00:00
twlpclyvgbgb,11,Bistro Meetup,2016-04-04 23:00:00
twlpclyvfbkb,11,Bistro Meetup,2016-03-08 00:00:00
twlpclyvdbcb,11,Bistro Meetup,2016-02-02 00:00:00
twlpclyvcbgb,11,Bistro Meetup,2016-01-12 00:00:00
twlpclytqbkb,11,Bistro Meetup,2015-12-15 00:00:00
twlpclytpbdb,11,Bistro Meetup,2015-11-03 00:00:00
243420596,2,Wealth Building Techniques for MASSIVE INCREASE!,2017-10-03 23:30:00
242341462,2,How to Create a Website that makes you Money and Gains YOU Market Share!,2017-09-05 23:30:00
241732803,2,"5 Year Celebration at The O'Gallery and         ""Permission to Live CD"" Release",2017-08-01 23:00:00
240788324,2,Social Media Do's & Dont's to Explode your Business!,2017-07-11 23:30:00
239840665,2,W.O.M.E.N. Come Celebrate our HUGE Milestone!,2017-06-06 23:30:00
239188365,2,Crowdfunding...Do you have the money to grow and expand your business?,2017-05-02 23:30:00
238457188,2,Nashville W.O.M.E.N. Speed Networking Workshop!,2017-04-04 23:30:00
