user_id,category_id,weight
2069,34,3
625050,34,2
1939496,34,1
2606806,34,4
3438546,34,1
4211111,34,1
4353024,34,5
5175848,34,1
5300858,34,1
5636006,34,1
5729989,34,1
6045513,34,1
6160486,34,1
6540851,34,2
6752008,34,1
7643395,34,1
7644736,34,1
7712083,34,10
7768516,34,1
7809273,34,1
7813939,34,1
7981818,34,7
8755133,34,4
9005384,34,1
9408769,34,1
9710170,34,2
9836992,34,2
9877008,34,1
10309794,34,9
10316298,34,1
10853675,34,5
11254617,34,1
12541555,34,3
12796969,34,1
13015711,34,6
13105002,34,1
13275146,34,18
13766608,34,1
13783999,34,11
13814003,34,1
14403986,34,1
14718861,34,1
14958671,34,1
22476571,34,1
22624461,34,1
23540031,34,1
28505562,34,2
38288962,34,1
45920892,34,1
47572122,34,3
48020352,34,4
49850062,34,2
52088722,34,1
53115852,34,4
53121132,34,2
55029192,34,1
56277052,34,2
58717942,34,1
60195472,34,1
62103862,34,2
63169652,34,21
69931222,34,1
70666292,34,1
82203572,34,9
82545112,34,1
82968792,34,1
87404222,34,1
87774872,34,1
89861182,34,1
89867622,34,3
91751202,34,1
92701572,34,13
93493412,34,1
94250692,34,1
94498242,34,1
97036102,34,1
100449852,34,1
101312342,34,6
102695132,34,1
104949862,34,1
105538032,34,5
105960092,34,11
106945172,34,4
113116532,34,1
114279782,34,2
114615372,34,2
120681332,34,1
123370602,34,3
127144472,34,1
135113782,34,1
135733652,34,17
138867992,34,1
149592462,34,1
155013572,34,1
155888802,34,2
159097962,34,1
159851832,34,1
160995592,34,1
161047052,34,2
161055882,34,2
161237842,34,4
162627572,34,1
165178312,34,2
169241162,34,9
169484362,34,1
173556522,34,1
177135382,34,3
180724892,34,1
181103802,34,6
181545832,34,1
182631962,34,1
182682136,34,3
182827769,34,13
183367514,34,1
183378188,34,23
183548200,34,1
183550384,34,2
183727389,34,1
184109815,34,1
184162999,34,1
184268293,34,7
184352575,34,2
184413641,34,3
184602143,34,5
184917918,34,12
185692888,34,11
186654507,34,3
186974810,34,15
187353081,34,1
187951183,34,1
188763008,34,3
189029901,34,7
189367825,34,1
189602585,34,3
191074840,34,1
192823934,34,1
193420743,34,3
193609612,34,2
194099532,34,6
195161271,34,1
195337451,34,2
195470542,34,1
197639845,34,1
197642047,34,9
197715975,34,2
197728111,34,9
197948725,34,2
198006132,34,2
198105506,34,7
198108003,34,3
198124436,34,2
198135687,34,1
198291973,34,5
198309639,34,11
198324314,34,1
198327014,34,1
198331825,34,3
198332016,34,9
198333848,34,6
198386354,34,1
198392292,34,1
198608782,34,1
198618067,34,10
198673357,34,1
198740479,34,10
198777771,34,12
198976621,34,1
199324203,34,4
199538122,34,5
199558573,34,4
199570331,34,5
200898815,34,3
201244054,34,1
201249049,34,10
201311920,34,1
201446209,34,3
201636697,34,2
201680292,34,13
202028316,34,2
202870163,34,2
202906542,34,1
203173660,34,3
203282391,34,1
204153614,34,1
204419131,34,12
